,text,repetido,labels,labels_int
0,"É um whisky pra quem não entende nada de whisky, me bloquearam no Instagram por falar a verdade sobre whiskys, empresa piada, sei que logo vai apagar meu comentário aqui também. Pra todos que verem esse meu comentário, saiba que não recomendo a casa das bebidas, a Amazon tem muito mais variedade e preço!! Fui",False,,
1,Muito boa escolha para presente!,False,,
2,pra esse wisk não chega nem aps pés p Woodford Reserver,False,,
3,Casa da Bebida hoje 21 anos... vale cada centavo!,False,,
4,"eu nunca tomei, porém dizem que é bem gelado e com gelo",False,,
5,Keuly Rios 🤭,False,,
6,Preço???,False,,
7,"Prezados,

acabo de receber os produtos do pedido 173953, no entanto dois dos itens vieram errados. No lugar do aperitivo italiano Ramazzotti Amaro, foi enviada uma garrafa de Mezzamaro da brasileira Stock. Em vez do vermute Cinzano Rosso argentino, recebi uma garrada do Cinzano Bianco. As fotos anexas mostram os produtos enviados erroneamente e a nota fiscal recebida.

Solicito a troca dos produtos, com o envio dos itens corretos, conforme registrado no pedido. Os itens enviados por engano serão devolvidos mediante a entrega dos produtos solicitados..

Agradeço a atenção e fico no aguardo de um breve retorno.",False,,
8,Estelhonato isso !!!!!,False,,
9,Não estão entregando as encomenda !,False,,
10,"Prezados,

acabo de receber os produtos do pedido 173953, no entanto dois dos itens vieram errados. No lugar do aperitivo italiano Ramazzotti Amaro, foi enviada uma garrafa de Mezzamaro da brasileira Stock.. Em vez do vermute Cinzano Rosso argentino, recebi uma garrada do Cinzano Bianco. As fotos anexas mostram os produtos enviados erroneamente e a nota fiscal recebida.

Solicito a troca dos produtos, com o envio dos itens corretos, conforme registrado no pedido. Os itens enviados por engano serão devolvidos mediante a entrega dos produtos solicitados..

Agradeço a atenção e fico no aguardo de um breve retorno.",False,,
11,"Prezados,

Efetuei uma compra no dia 27/12/2020 no valor de R$290,56 por 3 garrafas do whisky teachers Golden  Thistle, segue boleto e comprovante de pagamento em anexo. 

Para a minha surpresa recebi o e-mail abaixo informando que a compra foi cancelada.
Os motivos abaixo informado no e-mail de vcs. que não explica o motivo, e nem me foi feito o ressarcimento do valor.

Favor informar com urgência o que aconteceu.

Quero meus 3 litros ou meu dinheiro de volta.",False,,
12,Bom dia. Enviei um email para vocês. No aguardo de uma resposta.,False,,
13,"Prezados,
Efetuei uma compra no dia 27/12/2020 no valor de R$290,56   Pedido 167287 por 3 garrafas do whisky teachers Golden Thistle, segue boleto e comprovante de pagamento em anexo.
Para a minha surpresa recebi o e-mail abaixo informando que a compra foi cancelada.
Os motivos abaixo informado no e-mail de vcs. que não explica o motivo, e nem me foi feito o ressarcimento do valor.
Favor informar com urgência o que aconteceu.
Quero meus 3 litros ou meu dinheiro de volta.
Divonsir 41-3319-2789",False,,
14,Vcs tem algum single malt turfado?,False,,
15,"Poxa ia comprar.. estava por 219,90 e agora está por 249,90. Vai ter nova promoção?",False,,
16,"Comprei esse, é incrível.",False,,
17,Como comprar?,False,,
18,"Boa noite amigos, sou cliente da casa. Gostaria de saber se há algum número para whatts? Ou me chamem no privado aqui no face. Aguardo.",False,,
19,"Posso comprar pelo site e vocês enviarem por 99 entrega ou motoboy? Eu moro perto do centro de distribuição, em Goiânia não dá nem 2km. Quero receber no mesmo dia.",False,,
20,Original ?,False,,
21,Quanto  azul ?,False,,
22,"Bom dia, quem pode me ajudar com uma situação no transporte?  Enviei e-mail ao SAC se retorno.",False,,
23,Estraga o Jack não ....,False,,
24,Felipe Couto Dos Santos,False,,
25,Tem kit com esse copo ai? #TOP,False,,
26,Rapaz ..,False,,
27,"Boa tarde. Fiz uma compra no dia 11/06 pedido num  142748. Com previsão de entrega em ATE 5 dias úteis. N consigo ter informação pelo site do meu pedido e ligando na Central ninguém atende. Vcs podem me dar uma posição sobre minha entrega ?
Minha entrega está atrasada.",False,,
